text,category
"Audit compliance check",audit
"Audit risk assessment",audit
"Audit schedule update",audit
"Audit team assignment",audit
"Audit scope definition",audit
"Documentation update needed",documentation
"Document version control",documentation
"Document approval required",documentation
"Document storage update",documentation
"Document retention policy",documentation
"Document access control",documentation
"Document template update",documentation
"Document workflow update",documentation
"Document compliance check",documentation
"Document security review",documentation
"Workflow approval pending",workflow
"Workflow process update",workflow
"Workflow automation needed",workflow
"Workflow efficiency review",workflow
"Workflow documentation update",workflow
"Workflow compliance check",workflow
"Workflow optimization needed",workflow
"Workflow integration required",workflow
"Workflow monitoring needed",workflow
"Workflow reporting required",workflow
"Data backup required",data_management
"Data recovery needed",data_management
"Data migration scheduled",data_management
"Data security update",data_management
"Data privacy compliance",data_management
"Data retention policy",data_management
"Data access control",data_management
"Data quality check",data_management
"Data integration needed",data_management
"Data analysis required",data_management
"User access request",user_management
"User role update",user_management
"User permission change",user_management
"User account creation",user_management
"User authentication issue",user_management
"User password reset",user_management
"User activity monitoring",user_management
"User training needed",user_management
"User compliance check",user_management
"User security review",user_management
"Report generation failed",reporting
"Report template update",reporting
"Report scheduling needed",reporting
"Report distribution list",reporting
"Report format change",reporting
"Report data validation",reporting
"Report automation needed",reporting
"Report access control",reporting
"Report compliance check",reporting
"Report security review",reporting
"Integration test needed",integration
"API connection issue",integration
"System integration update",integration
"Integration documentation",integration
"Integration monitoring",integration
"Integration security check",integration
"Integration performance",integration
"Integration compliance",integration
"Integration maintenance",integration
"Integration support needed",integration
"Security patch required",security
"Security audit needed",security
"Security policy update",security
"Security compliance check",security
"Security risk assessment",security
"Security monitoring needed",security
"Security documentation",security
"Security training required",security
"Security incident report",security
"Security review needed",security
"Performance optimization",performance
"System performance issue",performance
"Performance monitoring",performance
"Performance testing needed",performance
"Performance report generation",performance
"Performance metrics update",performance
"Performance improvement",performance
"Performance documentation",performance
"Performance review needed",performance
"Performance optimization",performance
"Backup verification needed",backup
"Backup schedule update",backup
"Backup storage check",backup
"Backup recovery test",backup
"Backup documentation",backup
"Backup compliance check",backup
"Backup security review",backup
"Backup monitoring needed",backup
"Backup maintenance",backup
"Backup support required",backup
"Training schedule update",training
"Training material needed",training
"Training session planning",training
"Training documentation",training
"Training compliance check",training
"Training evaluation needed",training
"Training feedback review",training
"Training schedule conflict",training
"Training resource allocation",training
"Training support needed",training
"Support ticket creation",support
"Support request update",support
"Support documentation",support
"Support escalation needed",support
"Support resolution update",support
"Support feedback review",support
"Support metrics update",support
"Support training needed",support
"Support compliance check",support
"Support review required",support
"Maintenance schedule update",maintenance
"Maintenance documentation",maintenance
"Maintenance compliance check",maintenance
"Maintenance review needed",maintenance
"Maintenance support required",maintenance
"Maintenance monitoring",maintenance
"Maintenance reporting",maintenance
"Maintenance optimization",maintenance
"Maintenance security check",maintenance
"Maintenance training needed",maintenance 
